"x","life_expectancy_at_birth","life_expectancy_at_birth_2","neonatal_mortality_rate","neonatal_mortality_rate_2","infant_mortality_rate","infant_mortality_rate_2","under_five_mortality_rate","under_five_mortality_rate_2","under_five_mortality_rate_3","under_five_mortality_rate_4","adult_mortality_rate","adult_mortality_rate_2","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guinea-Bissau","47","60","64","34","132","50","223","74","80","68","353","262"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guyana","62","66","31","17","47","23","61","28","31","24","284","167"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haiti","53","63","39","24","100","45","145","59","64","53","282","180"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Honduras","65","70","22","10","45","14","58","17","18","15","186","124"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hungary","69","74","11","2","15","3","17","4","4","4","165","78"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iceland","78","83","3","1","5","2","6","3","3","2","66","42"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"India","59","67","57","19","89","26","127","31","30","31","202","144"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indonesia","63","68","31","11","62","19","84","22","24","20","220","161"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iran, Islamic Rep.","64","74","25","8","45","11","57","13","13","12","154","86"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iraq","58","70","26","14","42","21","54","25","27","22","207","143"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ireland","75","82","5","2","8","3","9","3","3","3","67","43"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isle of Man","72","81","..","..","..","..","..","..","..","..","82","52"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Israel","77","83","6","2","10","3","12","3","4","3","71","40"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy","77","83","7","2","8","2","10","3","3","2","61","36"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jamaica","72","71","18","10","24","11","28","12","14","11","195","127"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japan","79","84","3","1","5","2","6","2","2","2","65","36"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jordan","70","74","20","9","30","13","36","15","16","13","115","72"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kazakhstan","68","70","23","5","44","9","52","10","12","9","277","119"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenya","59","61","27","18","65","28","102","37","40","34","390","299"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kiribati","61","67","35","21","67","38","92","48","53","44","212","162"
